Date,Country,Confirmed
02 May 2020,Cambodia,122
03 May 2020,Cambodia,122
04 May 2020,Cambodia,122
05 May 2020,Cambodia,122
06 May 2020,Cambodia,122
07 May 2020,Cambodia,122
08 May 2020,Cambodia,122
09 May 2020,Cambodia,122
10 May 2020,Cambodia,122
11 May 2020,Cambodia,122
12 May 2020,Cambodia,122
13 May 2020,Cambodia,122
14 May 2020,Cambodia,122
15 May 2020,Cambodia,122
16 May 2020,Cambodia,122
17 May 2020,Cambodia,122
18 May 2020,Cambodia,122
19 May 2020,Cambodia,122
20 May 2020,Cambodia,122
21 May 2020,Cambodia,123
22 May 2020,Cambodia,123
23 May 2020,Cambodia,124
24 May 2020,Cambodia,124
25 May 2020,Cambodia,124
26 May 2020,Cambodia,124
31 March 2020,Cameroon,193
01 April 2020,Cameroon,233
04 April 2020,Cameroon,555
06 April 2020,Cameroon,658
11 April 2020,Cameroon,820
15 April 2020,Cameroon,848
19 April 2020,Cameroon,1017
23 April 2020,Cameroon,1334
27 April 2020,Cameroon,1705
30 April 2020,Cameroon,1832
01 May 2020,Cameroon,1832
02 May 2020,Cameroon,2077
03 May 2020,Cameroon,2077
04 May 2020,Cameroon,2104
05 May 2020,Cameroon,2104
06 May 2020,Cameroon,2265
07 May 2020,Cameroon,2267
08 May 2020,Cameroon,2267
09 May 2020,Cameroon,2274
10 May 2020,Cameroon,2579
11 May 2020,Cameroon,2689
12 May 2020,Cameroon,2689
13 May 2020,Cameroon,2800
14 May 2020,Cameroon,2954
15 May 2020,Cameroon,3105
16 May 2020,Cameroon,3105
17 May 2020,Cameroon,3105
18 May 2020,Cameroon,3529
19 May 2020,Cameroon,3529
20 May 2020,Cameroon,3733
21 May 2020,Cameroon,4288
22 May 2020,Cameroon,4400
23 May 2020,Cameroon,4400
24 May 2020,Cameroon,4890
25 May 2020,Cameroon,4890
26 May 2020,Cameroon,5436
14 March 2020,Canada,198
20 March 2020,Canada,943
24 March 2020,Canada,2790
28 March 2020,Canada,5576
31 March 2020,Canada,8527
01 April 2020,Canada,9560
04 April 2020,Canada,12978
06 April 2020,Canada,16563
11 April 2020,Canada,23316
15 April 2020,Canada,28209
19 April 2020,Canada,35633
23 April 2020,Canada,43299
27 April 2020,Canada,49616
30 April 2020,Canada,54457
01 May 2020,Canada,56343
02 May 2020,Canada,57926
03 May 2020,Canada,60504
04 May 2020,Canada,61957
